x,y,z,Bx,By,By,Bp,faceid
-27.573,8.48400000000004,-32.9,50,0,0,-366,3
-27.573,9.19100000000004,-32.9,50,0,0,-366,3
-27.573,9.89800000000004,-32.9,50,0,0,-366,3
-27.573,10.605,-32.9,50,0,0,-366,3
-27.573,11.312,-32.9,50,0,0,-366,3
-27.573,12.019,-32.9,50,0,0,-366,3
-27.573,12.726,-32.9,50,0,0,-366,3
-27.573,13.433,-32.9,50,0,0,-366,3
-27.573,14.14,-32.9,50,0,0,-366,3
-27.573,14.847,-32.9,50,0,0,-366,3
-27.573,15.554,-32.9,50,0,0,-366,3
-26.866,-16.968,-32.9,50,0,0,-366,3
-26.866,-16.261,-32.9,50,0,0,-366,3
-26.866,-15.554,-32.9,50,0,0,-366,3
-26.866,-14.847,-32.9,50,0,0,-366,3
-26.866,-14.14,-32.9,50,0,0,-366,3
-26.866,-13.433,-32.9,50,0,0,-366,3
-26.866,-12.726,-32.9,50,0,0,-366,3
-26.866,-12.019,-32.9,50,0,0,-366,3
-26.866,-11.312,-32.9,50,0,0,-366,3
-26.866,-10.605,-32.9,50,0,0,-366,3
-26.866,-9.89799999999998,-32.9,50,0,0,-366,3
-26.866,-9.19099999999998,-32.9,50,0,0,-366,3
-26.866,-8.48399999999998,-32.9,50,0,0,-366,3
-26.866,-7.77699999999998,-32.9,50,0,0,-366,3
-26.866,-7.06999999999998,-32.9,50,0,0,-366,3
-26.866,-6.36299999999998,-32.9,50,0,0,-366,3
-26.866,-5.65599999999997,-32.9,50,0,0,-366,3
-26.866,-4.94899999999997,-32.9,50,0,0,-366,3
-26.866,-4.24199999999997,-32.9,50,0,0,-366,3
-26.866,-3.53499999999997,-32.9,50,0,0,-366,3
-26.866,-2.82799999999997,-32.9,50,0,0,-366,3
-26.866,-2.12099999999997,-32.9,50,0,0,-366,3
-26.866,-1.41399999999997,-32.9,50,0,0,-366,3
-26.866,-0.706999999999969,-32.9,50,0,0,-366,3
-26.866,3.19744231092045E-14,-32.9,50,0,0,-366,3
-26.866,0.707000000000033,-32.9,50,0,0,-366,3
-26.866,1.41400000000003,-32.9,50,0,0,-366,3
-26.866,2.12100000000003,-32.9,50,0,0,-366,3
-26.866,2.82800000000003,-32.9,50,0,0,-366,3
-26.866,3.53500000000004,-32.9,50,0,0,-366,3
-26.866,4.24200000000004,-32.9,50,0,0,-366,3
-26.866,4.94900000000004,-32.9,50,0,0,-366,3
-26.866,5.65600000000004,-32.9,50,0,0,-366,3
-26.866,6.36300000000004,-32.9,50,0,0,-366,3
-26.866,7.07000000000004,-32.9,50,0,0,-366,3
-26.866,7.77700000000004,-32.9,50,0,0,-366,3
-26.866,8.48400000000004,-32.9,50,0,0,-366,3
-26.866,9.19100000000004,-32.9,50,0,0,-366,3
-26.866,9.89800000000004,-32.9,50,0,0,-366,3
-26.866,10.605,-32.9,50,0,0,-366,3
-26.866,11.312,-32.9,50,0,0,-366,3
-26.866,12.019,-32.9,50,0,0,-366,3
-26.866,12.726,-32.9,50,0,0,-366,3
-26.866,13.433,-32.9,50,0,0,-366,3
-26.866,14.14,-32.9,50,0,0,-366,3
-26.866,14.847,-32.9,50,0,0,-366,3
-26.866,15.554,-32.9,50,0,0,-366,3
-26.866,16.2610000000001,-32.9,50,0,0,-366,3
-26.866,16.9680000000001,-32.9,50,0,0,-366,3
-26.159,-18.382,-32.9,50,0,0,-366,3
-26.159,-17.675,-32.9,50,0,0,-366,3
-26.159,-16.968,-32.9,50,0,0,-366,3
-26.159,-16.261,-32.9,50,0,0,-366,3
-26.159,-15.554,-32.9,50,0,0,-366,3
-26.159,-14.847,-32.9,50,0,0,-366,3
-26.159,-14.14,-32.9,50,0,0,-366,3
-26.159,-13.433,-32.9,50,0,0,-366,3
-26.159,-12.726,-32.9,50,0,0,-366,3
-26.159,-12.019,-32.9,50,0,0,-366,3
-26.159,-11.312,-32.9,50,0,0,-366,3
-26.159,-10.605,-32.9,50,0,0,-366,3
-26.159,-9.89799999999998,-32.9,50,0,0,-366,3
-26.159,-9.19099999999998,-32.9,50,0,0,-366,3
-26.159,-8.48399999999998,-32.9,50,0,0,-366,3
-26.159,-7.77699999999998,-32.9,50,0,0,-366,3
-26.159,-7.06999999999998,-32.9,50,0,0,-366,3
-26.159,-6.36299999999998,-32.9,50,0,0,-366,3
-26.159,-5.65599999999997,-32.9,50,0,0,-366,3
-26.159,-4.94899999999997,-32.9,50,0,0,-366,3
-26.159,-4.24199999999997,-32.9,50,0,0,-366,3
-26.159,-3.53499999999997,-32.9,50,0,0,-366,3
-26.159,-2.82799999999997,-32.9,50,0,0,-366,3
-26.159,-2.12099999999997,-32.9,50,0,0,-366,3
-26.159,-1.41399999999997,-32.9,50,0,0,-366,3
-26.159,-0.706999999999969,-32.9,50,0,0,-366,3
-26.159,3.19744231092045E-14,-32.9,50,0,0,-366,3
